start_t,stop_t,server_id,player_a,player_b,key,meta,count
40320,40321, 50989f1b1dbf9d412a000004, 20f28e2b90d8763721ea193696017f6a10d30e3d, , Logins, America/Rainy_River,1
40320,40321, 50989f1b1dbf9d412a000004, 323b2345336df856738386ae17d31fa18e394816, , Logins, America/Los_Angeles,1
40320,40321, 50989f1b1dbf9d412a000004, 39a5bbb86c7f21bc29c295d1f571ed63ed8854ee, , Death, ,1
40320,40321, 50989f1b1dbf9d412a000004, 39a5bbb86c7f21bc29c295d1f571ed63ed8854ee, , Logins, America/New_York,1
40320,40321, 50989f1b1dbf9d412a000004, 39a5bbb86c7f21bc29c295d1f571ed63ed8854ee, 5a615a44b08fe408d5f82548187407fb1bb95efb, KilledBy, ,1
40320,40321, 50989f1b1dbf9d412a000004, 4732c5c9a500fc24c58aae3656cbe0ed8edd6edc, , BlockPlace, OTHER,1
40320,40321, 50989f1b1dbf9d412a000004, 5a615a44b08fe408d5f82548187407fb1bb95efb, , BlockBreak, GRASS,1
40320,40321, 50989f1b1dbf9d412a000004, 5a615a44b08fe408d5f82548187407fb1bb95efb, , BlockBreak, OTHER,1
40320,40321, 50989f1b1dbf9d412a000004, 5a615a44b08fe408d5f82548187407fb1bb95efb, , BlockBreak, STONE,1
40320,40321, 50989f1b1dbf9d412a000004, 5a615a44b08fe408d5f82548187407fb1bb95efb, , CraftedItems, IRON_PICKAXE,1
40320,40321, 50989f1b1dbf9d412a000004, 5a615a44b08fe408d5f82548187407fb1bb95efb, , CraftedItems, WORKBENCH,1
40320,40321, 50989f1b1dbf9d412a000004, 5a615a44b08fe408d5f82548187407fb1bb95efb, , Death, ,1
40320,40321, 50989f1b1dbf9d412a000004, 5a615a44b08fe408d5f82548187407fb1bb95efb, 5942423bc45a823a9081be377cdb00aae9e6dedf, Chat, ,1
40320,40321, 50989f1b1dbf9d412a000004, 5a615a44b08fe408d5f82548187407fb1bb95efb, 5ae781995377fcb4d6052cd9cd537da886f14e14, KilledBy, ,1
40320,40321, 50989f1b1dbf9d412a000004, 5ae781995377fcb4d6052cd9cd537da886f14e14, , BlockBreak, COBBLESTONE,1
40320,40321, 50989f1b1dbf9d412a000004, 5ae781995377fcb4d6052cd9cd537da886f14e14, , BlockBreak, IRON_ORE,1
